device,network,policy,seed,scenario,cacheSize,alerts,reliability,durationSec,queryRatePerMin,cacheHitRate,deliveryRate,avgFreshness,staleAccessRate,redundancyIndex,actionabilityFirstRatio,timelinessConsistency,pushesSent,pushSuppressRate,pushDuplicateRate,pushTimelyFirstRatio
Standard Phone,Disaster,PriorityFresh,FISHDINNER,Urban,128,400,0.300,900,60,0.994003,0.855000,0.793706,0.000000,0.543860,0.895652,0.269565,0,0.000000,0.000000,0.000000
Standard Phone,Disaster,PAFTinyLFU,FISHDINNER,Urban,128,400,0.300,900,60,0.994003,0.855000,0.786425,0.000000,0.543860,0.810127,0.392405,0,0.000000,0.000000,0.000000
High-End Phone,Perfect,LRU,FISHDINNER,Urban,256,400,1.000,900,60,0.998456,1.000000,0.798792,0.000000,0.572500,0.858156,0.205674,0,0.000000,0.000000,0.000000
High-End Phone,Perfect,TTLOnly,FISHDINNER,Urban,256,400,1.000,900,60,0.998456,1.000000,0.809931,0.000000,0.572500,0.812903,0.187097,0,0.000000,0.000000,0.000000
High-End Phone,Perfect,PriorityFresh,FISHDINNER,Urban,256,400,1.000,900,60,0.998456,1.000000,0.785536,0.000000,0.572500,0.895833,0.201389,0,0.000000,0.000000,0.000000
High-End Phone,Perfect,PAFTinyLFU,FISHDINNER,Urban,256,400,1.000,900,60,0.998456,1.000000,0.781259,0.000000,0.572500,0.821429,0.258929,0,0.000000,0.000000,0.000000
High-End Phone,Excellent,LRU,FISHDINNER,Urban,256,400,0.950,900,60,0.998442,1.000000,0.797539,0.000000,0.572500,0.829932,0.197279,0,0.000000,0.000000,0.000000
High-End Phone,Excellent,TTLOnly,FISHDINNER,Urban,256,400,0.950,900,60,0.998442,1.000000,0.810449,0.000000,0.572500,0.803922,0.189542,0,0.000000,0.000000,0.000000
High-End Phone,Excellent,PriorityFresh,FISHDINNER,Urban,256,400,0.950,900,60,0.998442,1.000000,0.784118,0.000000,0.572500,0.861111,0.201389,0,0.000000,0.000000,0.000000
High-End Phone,Excellent,PAFTinyLFU,FISHDINNER,Urban,256,400,0.950,900,60,0.998442,1.000000,0.785038,0.000000,0.572500,0.830508,0.245763,0,0.000000,0.000000,0.000000
High-End Phone,Good,LRU,FISHDINNER,Urban,256,400,0.900,900,60,0.998420,1.000000,0.803715,0.000000,0.572500,0.832168,0.188811,0,0.000000,0.000000,0.000000
High-End Phone,Good,TTLOnly,FISHDINNER,Urban,256,400,0.900,900,60,0.998420,1.000000,0.809097,0.000000,0.572500,0.812903,0.174194,0,0.000000,0.000000,0.000000
High-End Phone,Good,PriorityFresh,FISHDINNER,Urban,256,400,0.900,900,60,0.998420,1.000000,0.786437,0.000000,0.572500,0.861111,0.187500,0,0.000000,0.000000,0.000000
High-End Phone,Good,PAFTinyLFU,FISHDINNER,Urban,256,400,0.900,900,60,0.998420,1.000000,0.781108,0.000000,0.572500,0.837838,0.243243,0,0.000000,0.000000,0.000000
High-End Phone,Fair,LRU,FISHDINNER,Urban,256,400,0.850,900,60,0.998411,0.997500,0.797295,0.000000,0.571429,0.829787,0.198582,0,0.000000,0.000000,0.000000
High-End Phone,Fair,TTLOnly,FISHDINNER,Urban,256,400,0.850,900,60,0.998411,0.997500,0.806901,0.000000,0.571429,0.816993,0.183007,0,0.000000,0.000000,0.000000
High-End Phone,Fair,PriorityFresh,FISHDINNER,Urban,256,400,0.850,900,60,0.998411,0.997500,0.784621,0.000000,0.571429,0.875000,0.205882,0,0.000000,0.000000,0.000000
High-End Phone,Fair,PAFTinyLFU,FISHDINNER,Urban,256,400,0.850,900,60,0.998411,0.997500,0.781738,0.000000,0.571429,0.841667,0.233333,0,0.000000,0.000000,0.000000
High-End Phone,Poor,LRU,FISHDINNER,Urban,256,400,0.700,900,60,0.998394,0.987500,0.796262,0.000000,0.572152,0.858156,0.191489,0,0.000000,0.000000,0.000000
High-End Phone,Poor,TTLOnly,FISHDINNER,Urban,256,400,0.700,900,60,0.998394,0.987500,0.807888,0.000000,0.572152,0.847682,0.178808,0,0.000000,0.000000,0.000000
